08/15,"/ˈnʊlˌʔaxtˈfʏnftseːn/,/ˈnʊlˌʔaxtˈfʊftseːn/"
100pro,/ˌhʊndɐtˈpʁoː/
10-Flächner,/ˈtseːnˌflɛçnɐ/
11-Flächner,/ˈɛlfˌflɛçnɐ/
12-Flächner,/t͡svœlfˌflɛçnɐ/
13-Flächner,/ˈdʁaɪ̯tseːnˌflɛçnɐ/
175ers,/hʊndɐtfʏnfʊntˈziːpt͡sɪɡɐs/
21-minütig,/ˈaɪ̯nʊnt͡svant͡sɪçmiˌnyːtɪç/
22-Eckes,/ˈt͡svaɪ̯ʊntˌt͡svant͡sɪçˌ.ɛkəs/
22-Ecke,/ˈt͡svaɪ̯ʊntˌt͡svant͡sɪçˌ.ɛkə/
22-Ecks,/ˈt͡svaɪ̯ʊntˌt͡svant͡sɪçˌ.ɛks/
22-Eck,/ˈt͡svaɪ̯ʊntˌt͡svant͡sɪçˌ.ɛk/
27-Eck,/ˈziːbm̩ʊntˌt͡svant͡sɪç.ɛk/
31-minütig,/ˈaɪ̯nʊndʁaɪ̯sɪçmiˌnyːtɪç/
4-Aminobutansäure,/fiːɐ̯ʔaˌmiːnobuːˈtanzɔɪ̯ʁə/
4-Flächner,/ˈfiːɐ̯ˌflɛçnɐ/
4-Hydroxybutansäure,/fiːɐ̯ˌhydʁɔksyːbuːˈtanzɔɪ̯ʁə/
5-Flächner,/ˈfynfˌflɛçnɐ/
5-Hydroxytryptamin,/fʏnfˌhydʁɔksyːtʁʏptaˈmiːn/
6-Flächner,/ˈzɛksˌflɛçnɐ/
7-Flächner,/ˈziːbənˌflɛçnɐ/
8-Flächner,/ˈaxtˌflɛçnɐ/
9-Flächner,/ˈnɔɪ̯nˌflɛçnɐ/
a-,/a/
à,/aː/
Aach,[aːχ]
Aachen,"/ˈaːxən/,[ˈäːχn̩]"
Aachener,/ˈaːxənɐ/
Aachenerin,/ˈaːxənəʁɪn/
AAD,/aːʔaːˈdeː/
Aak,[aːk]
Aake,/ˈaːkə/
Aakerbeere,/ˈaːkɐˌbeːʁə/
Aal,"/aːl/,[ʔaːl]"
aalähnlich,/ˈaːlˌeːnlɪç/,"qualifier:overall more common; particularly northern and eastern regions"
aalähnlich,/ˈaːlˌɛːnlɪç/,"qualifier:standard; used naturally in western Germany and Switzerland"
aalartig,/ˈaːlʔaːɐ̯tɪç/,"qualifier:standard"
aalartig,/ˈaːlʔaːɐ̯tɪk/,"qualifier:common form in southern Germany, Austria, and Switzerland"
Aalauge,/ˈaːlˌaʊ̯ɡə/
Aalbeere,"[ˈaːlˌbeːrə],[ˈaːlˌbeːʁə]"
Aalen,/ˈaːlən/
Aales,/ˈʔaːləs/
Aale,/ˈʔaːlə/
Aalfang,/ˈɑːlˌfaŋ(k)/
Aalfell,/ˈaːlˌfɛl/
Aalfett,/ˈaːlˌfɛt/
Aalfischer,/ˈaːlˌfɪʃɐ/
aalförmig,/ˈaːlˌfœʁmɪç/
aalglatt,/ˌaːlˈɡlat/
aalgleich,/ˈaːlˌɡlaɪ̯ç/
Aalhaut,/ˈaːlˌhaʊ̯t/
Aalkorb,/ˈaːlˌkɔʁp/
Aalleiter,/ˈaːlˌlaɪ̯tɐ/
Aalmolch,/ˈaːlˌmɔlç/
Aalmutter,"/ˈaːlˌmʊtɐ/,[ˈʔaːlˌmʊtʰɐ]"
